City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
326,Namibe,AO,83.73,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
328,Banda Aceh,ID,78.33,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
331,Yabrud,SY,72.32,broken clouds,33.9674,36.6574,صالة افراح الاندلس
333,Awbari,LY,80.01,clear sky,26.5921,12.7805,فندق أوباري
335,Hovd,MN,70.18,moderate rain,48.0056,91.6419,Hotel Khovd
343,Kerrville,US,73.62,overcast clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
346,Belen,TR,73.54,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
354,Manoel Urbano,BR,71.22,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
355,Waddan,LY,74.79,clear sky,29.1614,16.139,محل الشريف محمد العايب
356,Boca Do Acre,BR,71.22,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
358,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
360,Kalabo,ZM,76.33,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
364,Sabang,ID,78.66,overcast clouds,5.8933,95.3214,Hotel Citra
365,Anloga,GH,84.49,overcast clouds,5.7947,0.8973,Pin Drop Hotel
367,Fare,PF,81.14,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
369,Aginskoye,RU,71.26,overcast clouds,51.1,114.53,Кочевник
