City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Talant,FR,2022-05-02 08:02:21,47.3369,5.0089,53.94,76,0,5.75
234,Charlestown,AU,2022-05-02 08:02:22,-32.95,151.6667,68.74,79,89,1.01
235,Arman,RU,2022-05-02 08:02:22,59.7,150.1667,43.02,90,64,4.74
236,Palmer,US,2022-05-02 08:02:23,42.1584,-72.3287,50.25,79,100,2.73
237,Nioro,GM,2022-05-02 08:02:25,13.35,-15.75,78.64,32,82,3.31
238,Mount Isa,AU,2022-05-02 08:01:00,-20.7333,139.5,83.97,39,75,8.05
239,Anloga,GH,2022-05-02 08:02:25,5.7947,0.8973,83.84,76,36,13.35
240,Hokitika,NZ,2022-05-02 08:02:26,-42.7167,170.9667,57.92,94,100,4.72
241,Ulaanbaatar,MN,2022-05-02 08:02:26,47.9077,106.8832,75.33,8,20,13.42
242,Mercedes,AR,2022-05-02 08:02:27,-34.6515,-59.4307,44.78,85,76,7.63
243,Aranda De Duero,ES,2022-05-02 08:02:27,41.6704,-3.6892,52.97,70,47,2.73
244,Charyshskoye,RU,2022-05-02 08:02:28,51.3978,83.5598,62.22,68,100,11.59
245,Codrington,AU,2022-05-02 08:02:29,-38.2667,141.9667,63.81,65,100,9.4
246,Klaksvik,FO,2022-05-02 08:02:29,62.2266,-6.589,38.32,71,87,17.05
247,Crestline,US,2022-05-02 08:02:30,34.242,-117.2856,51.06,71,100,5.99
248,Saint-Philippe,RE,2022-05-02 07:53:10,-21.3585,55.7679,83.79,75,1,7.38
249,Guerrero Negro,MX,2022-05-02 07:58:26,27.9769,-114.0611,58.01,89,5,11.05
250,Caravelas,BR,2022-05-02 08:02:31,-17.7125,-39.2481,71.37,92,99,3.42
251,Nishihara,JP,2022-05-02 08:02:31,26.1842,127.7558,65.48,79,100,10.36
252,Majenang,ID,2022-05-02 08:02:32,-7.2975,108.7642,85.96,75,100,2.95
253,Tiksi,RU,2022-05-02 08:02:32,71.6872,128.8694,17.71,85,23,4.54
254,Kirando,TZ,2022-05-02 08:02:33,-7.4167,30.6,73.78,76,100,1.88
255,Kangaatsiaq,GL,2022-05-02 08:02:33,68.3065,-53.4641,15.44,94,100,4.23
256,Phon,TH,2022-05-02 08:02:34,15.816,102.5998,81.07,50,76,15.88
257,Shetpe,KZ,2022-05-02 08:02:34,44.1667,52.1167,70.3,26,8,19.8
258,Saint Anthony,US,2022-05-02 08:02:35,45.0205,-93.218,42.73,84,100,10.36
259,Berlevag,NO,2022-05-02 08:02:35,70.8578,29.0864,28.35,80,75,20.71
260,Yokadouma,CM,2022-05-02 08:02:36,3.5167,15.05,83.21,57,39,3.83
261,Blagoyevo,RU,2022-05-02 08:02:36,63.3667,47.9167,36.73,62,100,9.04
262,Swedru,GH,2022-05-02 08:02:37,5.5371,-0.6998,82.58,78,100,6.15
263,Leo,BF,2022-05-02 08:02:37,11.1,-2.1,90.16,37,8,6.53
264,Chuy,UY,2022-05-02 08:02:38,-33.6971,-53.4616,53.49,70,100,5.84
265,Tezu,IN,2022-05-02 08:02:39,27.9167,96.1667,88.92,44,95,3.69
266,Talnakh,RU,2022-05-02 08:02:39,69.4865,88.3972,27.21,82,100,11.63
267,Chapais,CA,2022-05-02 08:02:40,49.7834,-74.8492,35.35,95,97,7.54
268,Werda,BW,2022-05-02 08:02:40,-25.2667,23.2833,68.32,49,0,10.36
269,Colchester,GB,2022-05-02 08:01:29,51.8892,0.9042,55.02,83,100,3.58
270,Chebarkul,RU,2022-05-02 08:02:41,54.9749,60.3633,46.8,29,4,12.19
271,Keti Bandar,PK,2022-05-02 08:02:42,24.1447,67.4497,89.26,54,0,22.5
272,Dukat,RU,2022-05-02 08:03:43,62.55,155.55,26.37,96,30,4.47
273,Starobaltachevo,RU,2022-05-02 08:03:43,56.0013,55.9213,47.95,45,92,15.7
274,Bonavista,CA,2022-05-02 08:03:44,48.6499,-53.1147,36.43,95,100,6.11
275,Luang Prabang,LA,2022-05-02 08:03:44,19.8856,102.1347,80.28,56,100,2.77
276,Opuwo,NA,2022-05-02 08:03:45,-18.0607,13.84,75.13,38,22,14.16
277,Saskylakh,RU,2022-05-02 08:03:45,71.9167,114.0833,23.0,86,19,8.55
278,Karatau,KZ,2022-05-02 08:03:46,43.1667,70.4667,81.86,29,100,8.75
279,Mount Gambier,AU,2022-05-02 08:03:46,-37.8333,140.7667,61.54,67,90,7.56
280,Vardo,NO,2022-05-02 08:03:47,70.3705,31.1107,30.18,80,75,16.11
281,Erzin,TR,2022-05-02 08:03:47,36.9559,36.2,70.97,55,1,4.52
282,Khislavichi,RU,2022-05-02 08:03:48,54.1871,32.1582,53.44,64,99,8.55
283,Hasaki,JP,2022-05-02 08:03:48,35.7333,140.8333,59.29,57,89,10.47
284,Srednekolymsk,RU,2022-05-02 08:03:49,67.45,153.6833,32.36,93,100,2.75
285,Tornio,FI,2022-05-02 08:03:49,65.8481,24.1466,37.42,84,100,18.41
286,Taltal,CL,2022-05-02 08:03:50,-25.4,-70.4833,58.3,83,24,0.54
287,Sitka,US,2022-05-02 08:03:50,57.0531,-135.33,41.29,94,100,1.83
288,Sioux Lookout,CA,2022-05-02 08:00:09,50.1001,-91.917,33.12,100,100,7.67
289,Cayenne,GF,2022-05-02 08:01:05,4.9333,-52.3333,81.09,1,75,7.0
290,Poum,NC,2022-05-02 08:03:51,-20.2333,164.0167,78.58,81,4,11.54
291,Robertson,US,2022-05-02 08:03:52,36.5167,-86.8667,57.0,100,40,3.44
